identifier_file,title,host_title,abstract,date_text,date_key,date_qualifier,collection,collection_identifier,extent,form,genre,language,name,name_role,publisher,place_of_origin,subject_geographic 1,subject_geographic 2,subject_geographic 3,subject_name 1,digital_origin,subject_name 2,subject_name 3,subject_name 4,subject_name 5,subject_topical 1,subject_topical 2,subject_topical 3,subject_topical 4,project_title,repository,rights,public_note,item_type
0012_003707_000001,David Frost interview with Richard Nixon,Nashville Banner,Journalist David Frost asks former President Richard Nixon whether Nixon lied to Americans. Nixon insists he has been truthful.,copyright 1977,1977,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),United States,,,"Nixon, Richard M. (Richard Milhous), 1913-1994",reformatted digital,"Frost, David, 1939-2013",,,,Interviewing on television,Broadcast journalism,Truthfulness and falsehood,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000002,Gas Guzzler,Nashville Banner,"A distraught man aims his handgun at his family's car, whose front license plate reads ""Gas Guzzler."" The man's wife and children tearfully stand by.",copyright 1977,1977,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Economic conditions--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),United States,,,,reformatted digital,,,,,United States--Economic conditions--1971-1981,Gasoline--Prices,,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000003,Uncle Sam attempts to start a fire using energy policy logs,Nashville Banner,"Uncle Sam attempts to start a fire in a snowy forest by rubbing two sticks together over logs labeled ""energy policy"".",copyright 1977,1977,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),United States,,,,reformatted digital,,,,,Uncle Sam (Symbolic character),Energy policy,,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000004,Inflation rat ate all of the fixed income couple's food,Nashville Banner,"An elderly couple, with the man labeled ""Fixed Income"", opens their refrigerator to find a rat, labeled ""Inflation"", who has eaten all of their food.",copyright 1978,1978,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Economic conditions--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),United States,,,,reformatted digital,,,,,United States--Economic conditions--1971-1981,Inflation (Finance),,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000005,Okay Gang... Now What Do We Do About This Inflation Thing?,Nashville Banner,"President Jimmy Carter, dressed as Alice from Alice in Wonderland, asks his White House Economic Advisors about what to do about inflation. His economic advisors are characters from the book.",copyright 1978,1978,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),Washington (D.C.),"White House (Washington, D.C.)",,"Carter, Jimmy, 1924-",reformatted digital,Alice (Fictitious character from Carroll),,,,United States--Economic conditions--1971-1981,Inflation (Finance),,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000006,Supreme Court feeds the Snail Darter $100 million fish food,Nashville Banner,A judge dressed in a Supreme Court labeled robe feeds a fish $100 million Snail Darter Food. The fish's bowl houses a tiny TVA dam.,copyright 1978,1978,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),Little Tennessee River (Ga.-Tenn.),Tellico Dam (Tenn.),Loudon County (Tenn.),Tennessee Valley Authority,reformatted digital,United States. Supreme Court,,,,United States. Endangered Species Act of 1973,Wildlife conservation,,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000007,Like I Always Said... Pork Barreling Starts at Home!,Nashville Banner,"Anthromorphic pigs dressed in suits discuss pork barreling. One pig holds a newspaper with the headline ""Senate Building to cost $135 million."" Another pig wears a suit labeled ""Congress"" on the sleeve.",copyright 1978,1978,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),Washington (D.C.),,,United States. Congress,reformatted digital,,,,,Government spending policy,"Expenditures, Public",,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000008,Public and Labor Carry the Huge Sacrifice,Nashville Banner,"Two men wearing t-shirts labeled ""Public"" and ""Labor"" hold up huge stone letters spelling ""Sacrifice"" while a man wearing a suit labeled ""Corporations"" fakes injury to pick up a piece of paper stating ""26.4% Profit"".",copyright 1979,1979,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),United States--Economic conditions--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),United States,,,,reformatted digital,,,,,United States--Economic conditions--1971-1981,Labor,Corporations,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
0012_003707_000009,"Why of course you're in charge, sir!",Nashville Banner,"An armed Iranian rebel fighter, who takes up the whole frame, holds a small Grand Ayatollah Ruhollah Khomeini in his hand. The fighter salutes the Grand Ayatollah and assures him he is in charge.",copyright 1979,1979,exact,Ed Gamble Cartoon Collection,MS.3763,12 inches by 16 inches,cartoons (humorous images),World politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),Iran,,,"Khomeini, Ruhollah",reformatted digital,,,,,"Iran--History--Revolution, 1979",Islamic leadership,Iran--Politics and government--1979-1997,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",The caption to the illustration is attached to the bottom.,Still Image
0012_003707_000010,The Bloody Tories Are Coming,Nashville Banner,"A man riding a horse cries ""The Bloody Tories are coming"" while holding a newspaper with the headline ""Thatcher Wins."" Men depicted leaving Downing Street include a disgruntled man with ""Callaghan"" labeled on his sleeve and ""Labour Party"" inscribed on his suitcase.",copyright 1979,1979,exact,Ed Gamble Cartoon Collection,MS.3763,11 inches by 17 inches,cartoons (humorous images),World politics and government--Caricatures and cartoons,eng,"Gamble, Ed",Illustrator,Nashville Banner,Nashville (Tenn.),London (England),Great Britain,,Great Britain. Parliament,reformatted digital,"Thatcher, Margaret",Conservative Party (Great Britain),Labour Party (Great Britain),,Great Britain. Parliament--Elections,Prime ministers--Great Britain,,,Ed Gamble Cartoon Collection,"University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",,Still Image
